,Stever House Electric Real Power,IW.Weather.Kpit56.Csv.Temp
01-Nov-16 00:00:32,85340.67188,44.57578659
01-Nov-16 00:01:31,85458.99219,44.56791687
01-Nov-16 00:02:30,87159.35938,44.55995941
01-Nov-16 00:03:30,86725.29688,44.55196381
01-Nov-16 00:04:30,85152.73438,44.54396057
01-Nov-16 00:05:30,85343.41406,44.56222534
01-Nov-16 00:06:30,86791.35938,44.60622025
01-Nov-16 00:07:30,85858.60938,44.65021515
01-Nov-16 00:08:32,101489.8984,44.69552994
01-Nov-16 00:09:30,99590.5625,44.73822403
01-Nov-16 00:10:30,106947.8906,44.75595856
01-Nov-16 00:11:36,104181.6563,44.74720001
01-Nov-16 00:12:30,104612.3672,44.73995972
01-Nov-16 00:13:30,89116.94531,44.7319603
01-Nov-16 00:14:30,91122.8125,44.7239418
01-Nov-16 00:15:31,91783.8125,44.70571518
01-Nov-16 00:16:33,88215.80469,44.67681503
01-Nov-16 00:17:31,89768.39844,44.64969254
01-Nov-16 00:18:30,88551.60156,44.62186432
01-Nov-16 00:19:30,86880.9375,44.59385681
01-Nov-16 00:20:30,86715.39844,44.55273056
01-Nov-16 00:21:30,85303.92969,44.49873734
01-Nov-16 00:22:30,83839.54688,44.4447403
01-Nov-16 00:23:30,82330.96094,44.39072037
01-Nov-16 00:24:34,99817.16406,44.33340073
01-Nov-16 00:25:30,85987.3125,44.31908798
01-Nov-16 00:26:30,84411.89844,44.33709335
01-Nov-16 00:27:30,84319.54688,44.35509109
01-Nov-16 00:28:30,84540.16406,44.37308884
01-Nov-16 00:29:30,85801.07031,44.39109039
01-Nov-16 00:30:30,92598.34375,44.39595795
01-Nov-16 00:31:30,84600.1875,44.38796234
01-Nov-16 00:32:35,83794.90625,44.37930679
01-Nov-16 00:33:30,85055.64844,44.37195969
01-Nov-16 00:34:30,84385.14063,44.36396027
01-Nov-16 00:35:30,85224.58594,44.34990311
01-Nov-16 00:36:30,84715.40625,44.32990265
01-Nov-16 00:37:32,88411.07031,44.30929565
01-Nov-16 00:38:30,86677.83594,44.28989792
01-Nov-16 00:39:30,86698.64844,44.26990128
01-Nov-16 00:40:36,87355.42969,44.24929428
01-Nov-16 00:41:30,88484.54688,44.23290634
01-Nov-16 00:42:30,85701.5625,44.21486282
01-Nov-16 00:43:30,90898.08594,44.19691086
01-Nov-16 00:44:30,94015.44531,44.17890549
01-Nov-16 00:45:32,98017.5,44.145298
01-Nov-16 00:46:30,101800,44.10066223
01-Nov-16 00:47:30,101361.8906,44.05476761
01-Nov-16 00:48:30,97783.66406,44.00875854
01-Nov-16 00:49:30,93883.32813,43.96277237
01-Nov-16 00:50:30,84714.88281,43.92182541
01-Nov-16 00:51:30,86036.57031,43.88581467
01-Nov-16 00:52:30,86151.07031,43.84981537
01-Nov-16 00:53:33,87734.34375,43.81237793
01-Nov-16 00:54:30,85549.67188,43.7778244
01-Nov-16 00:55:30,86296.42188,43.75999832
01-Nov-16 00:56:30,86157.75,43.75999832
01-Nov-16 00:57:30,88560.29688,43.75999832
01-Nov-16 00:58:30,84570.60938,43.75999832
01-Nov-16 00:59:30,84591.34375,43.75999832
01-Nov-16 01:00:30,83390.20313,43.76504898
01-Nov-16 01:01:34,85116.78125,43.7756958
01-Nov-16 01:02:30,85907.58594,43.78505325
01-Nov-16 01:03:30,85068.82031,43.79505157
01-Nov-16 01:04:30,88967.07813,43.8050499
01-Nov-16 01:05:30,88997.59375,43.81404114
01-Nov-16 01:06:30,86832.46094,43.82206345
01-Nov-16 01:07:30,87399.72656,43.83003998
01-Nov-16 01:08:30,87001.47656,43.8380394
01-Nov-16 01:09:35,88749.10156,43.84671402
01-Nov-16 01:10:30,85440.5625,43.84595871
01-Nov-16 01:11:30,87717.53906,43.83794022
01-Nov-16 01:12:30,86887.54688,43.82995987
01-Nov-16 01:13:30,88816.14844,43.82196045
01-Nov-16 01:14:32,83602.51563,43.81374741
